case_id,phase,behavior,conversation_id,title,prompt,default_model,model_family,model_slugs,thinking_efforts,tool_calls,time_to_first_tool_s,turn_duration_s,next_user_delay_min,next_user,snapshot,snapshot_sha256,checks_passed
good-memory-1240,recovered_good,sustained_execution,6a8d6312-cb44-83eb-b788-e213ce1ed9b0,Memory regression work,work on memory stuff,gpt-5-6,gpt-5-6,gpt-5-6;gpt-5-6-auto-thinking;gpt-5-6-thinking,,43,0.879,253.235,9.766,refresh your memory,20260827T041001Z_6a8d6312-cb44-83eb-b788-e213ce1ed9b0_sha256-46a81870383e.json,46a81870383e6076c5379422b86eb0153255a7e94e6cb39e2a95be3dce68ce75,True
good-p3-1317,recovered_good,sustained_execution,6a8d6b9f-4858-83eb-bee2-9703ba3f7cfa,P3 PR consolidation,work on p3,gpt-5-6,gpt-5-6,gpt-5-6;gpt-5-6-auto-thinking;gpt-5-6-thinking,,65,1.033,1688.532,29.239,go,20260827T040654Z_6a8d6b9f-4858-83eb-bee2-9703ba3f7cfa_sha256-acd060a0951d.json,acd060a0951d08f3733a17ca33b82f8b5286988cf1156d4d0cb99da002c30234,True
pre-1518-mcp-control,recovered_good,execution_present_conclusion_corrected,6a8d81bb-4764-83eb-bc54-cc44848639a0,MCP troubleshooting,work on mcp,gpt-5-6,gpt-5-6,gpt-5-6;gpt-5-6-auto-thinking;gpt-5-6-thinking,,35,1.786,691.997,12.241,no you are wrong,20260827T040305Z_6a8d81bb-4764-83eb-bc54-cc44848639a0_sha256-3b988857bcd5.json,3b988857bcd5bca8eb5ccb6c2242013a5872cbaf6737e577763c600da263fcdb,True
good-mcp-1519,recovered_good,sustained_execution,6a8d8841-abf4-83eb-b3b2-81633b949543,Work on MCP,work on mcp,gpt-5-6,gpt-5-6,gpt-5-6;gpt-5-6-auto-thinking;gpt-5-6-thinking,,43,0.428,148.164,,,20260827T040325Z_6a8d8841-abf4-83eb-b3b2-81633b949543_sha256-aba210444e46.json,aba210444e46709c800523783c3940c96cf929bb2fe0f2f19c11a34e0086d7d9,True
postpolicy-good-1742,later_policy_stack,sustained_execution,6a8efb49-b2a8-83eb-9d1c-75085f82d78b,Summarize cleanup progress,https://github.com/organicoverlords/regression-research/issues/76,gpt-5-6-thinking,gpt-5-6,gpt-5-6-thinking,extended,143,2.521,1538.595,27.763,go,20260827T032342Z_6a8efb49-b2a8-83eb-9d1c-75085f82d78b_sha256-93dc15e12c4f.json,93dc15e12c4fdee60724112b7d651835aed4fbacd4298c5de36829dc4e588fbf,True
postpolicy-route-regression-2004,later_policy_stack,route_selection_regression,6a8f1c9a-73cc-83ed-93b7-6d7e5e6fe200,Summarize V2 Evolution,audit v2,gpt-5-6-thinking,gpt-5-6,gpt-5-6-thinking,extended,2,1.889,1.889,0.662,why are you not using mcp0,20260827T031540Z_6a8f1c9a-73cc-83ed-93b7-6d7e5e6fe200_sha256-6ac849f5fac8.json,6ac849f5fac82aff773100552e3b9d97ba05413f9e6f5586bf26546ed19de157,True
postpolicy-response-regression-2205,later_policy_stack,execution_present_response_rejected,6a8f38d6-2e30-83ed-a69f-fdd85df241a3,Protect downloaded memory bank,"this is a memory bank big problem, do not loose my hard earned downloads:",gpt-5-6-thinking,gpt-5-6,gpt-5-6-thinking,extended,20,1.69,621.106,27.92,slopwall eli5,20260827T031630Z_6a8f38d6-2e30-83ed-a69f-fdd85df241a3_sha256-ea27e2001196.json,ea27e20011969899af02c231d5fcef511906010879ac7874b4a44cd8c7bdb533,True
postpolicy-fabricated-mutation-2318,later_policy_stack,unsupported_mutation_claim,6a8f4a0b-ca94-83eb-b3e2-c4e9f6242b30,Add incident to memory,add to memory corpus as an incident to remember,gpt-5-6-thinking,gpt-5-6,gpt-5-6-thinking,extended,0,,62.656,28.01,no fail reverse that I told you to use the memory corpus / bank / vault never touch memory without my permissin,20260827T032031Z_6a8f4a0b-ca94-83eb-b3e2-c4e9f6242b30_sha256-f86a6ea35b26.json,f86a6ea35b26a00fea2a4e90830dc9944ae2a9c2e48b09cfea5a6a5766f6cdff,True
